66.249.71.72 bot - "2017-10-20 01:47:05" http://proust.psikologi.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.128 bot - "2017-10-20 02:04:35" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.70 bot - "2017-10-20 09:20:56" http://proust.psikologi.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
152.118.64.113 - - "2017-10-20 10:27:13" http://proust.psikologi.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
152.118.64.113 - - "2017-10-20 10:27:14" http://proust.psikologi.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
152.118.64.113 - - "2017-10-20 10:27:14" http://proust.psikologi.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:22:04" http://proust.psikologi.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:22:08" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:22:11" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:22:11" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:23:52" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:24:29" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:24:33" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
46.239.96.141 - - "2017-10-20 20:24:35" http://proust.psikologi.ui.ac.id/index.php/journal/issue/view/1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
