114.124.164.4 - - "2017-12-18 07:12:38" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Linux; Android 5.1; A1601 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
64.233.173.36 - - "2017-12-18 07:13:11" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Linux; Android 7.0; SM-G610F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36"
180.232.69.20 - - "2017-12-18 11:29:07" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
180.232.69.20 - - "2017-12-18 11:29:25" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.11.36.133 - - "2017-12-18 11:45:07" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.11.36.133 - - "2017-12-18 11:45:08" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
180.232.69.20 administrative 24 "2017-12-18 12:15:54" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.11.36.133 - - "2017-12-18 12:38:56" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.5.154.247 administrative 17 "2017-12-18 13:48:52" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.5.154.247 administrative 17 "2017-12-18 13:48:53" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.5.154.247 - - "2017-12-18 14:26:14" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.5.154.247 - - "2017-12-18 14:26:14" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
203.142.75.82 - - "2017-12-18 15:38:05" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.5.154.247 administrative 17 "2017-12-18 15:44:39" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
10.5.154.247 administrative 17 "2017-12-18 16:08:15" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
84.87.215.130 - - "2017-12-18 17:24:27" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
84.87.215.130 - - "2017-12-18 22:06:05" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
