35.225.221.87 - - "2018-01-30 00:37:28" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "ltx71 - (http://ltx71.com/)"
199.168.137.72 - - "2018-01-30 00:48:47" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
199.168.137.72 - - "2018-01-30 00:48:48" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
199.168.137.72 - - "2018-01-30 00:48:50" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
199.168.137.72 - - "2018-01-30 00:48:58" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
199.168.137.72 - - "2018-01-30 00:49:01" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "Java/1.4.1_04"
142.0.38.118 - - "2018-01-30 03:07:12" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
142.0.38.118 - - "2018-01-30 03:07:14" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
142.0.38.118 - - "2018-01-30 03:07:21" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
142.0.38.118 - - "2018-01-30 03:07:30" http://proust.ui.ac.id/index.php/journal/index 200 "Java/1.4.1_04"
142.0.38.118 - - "2018-01-30 03:07:36" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "Java/1.4.1_04"
66.249.79.4 bot - "2018-01-30 04:05:13" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.227.101.75 - - "2018-01-30 06:07:37" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.227.101.75 - - "2018-01-30 06:29:02" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.227.101.75 - - "2018-01-30 06:29:55" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.227.101.75 - - "2018-01-30 07:47:52" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.166.22.107 - - "2018-01-30 09:27:50" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
10.5.155.90 - - "2018-01-30 09:57:50" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
10.5.155.90 - - "2018-01-30 09:58:11" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
54.166.22.107 - - "2018-01-30 10:17:44" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
