133.130.49.166 - - "2018-02-09 01:28:54" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"
34.239.254.244 - - "2018-02-09 01:49:31" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 01:51:57" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 01:52:53" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 01:59:53" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 02:06:10" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 02:17:14" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 02:56:15" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 02:57:25" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.79.70 bot - "2018-02-09 03:36:57" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.239.254.244 - - "2018-02-09 04:01:20" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 06:36:02" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 06:38:51" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 06:39:41" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 06:46:56" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 06:52:35" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:05:49" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:29:22" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:31:26" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:31:57" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:36:31" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:49:29" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:51:32" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:52:06" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 07:57:38" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 08:02:47" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 08:03:34" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 08:23:29" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 08:24:25" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 09:05:15" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
10.5.153.130 - - "2018-02-09 09:32:44" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
10.5.153.130 - - "2018-02-09 09:32:46" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
54.85.182.120 - - "2018-02-09 10:59:08" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
5.188.211.15 - - "2018-02-09 11:20:54" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
34.239.254.244 - - "2018-02-09 12:37:43" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:38:09" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:38:15" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:39:06" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:39:56" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:40:02" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:41:29" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:41:36" http://proust.ui.ac.id/index.php/journal/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 12:43:14" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
34.239.254.244 - - "2018-02-09 13:12:23" http://proust.ui.ac.id/index.php/journal/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.79.72 bot - "2018-02-09 16:08:14" http://proust.ui.ac.id/index.php/journal/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
5.188.211.35 - - "2018-02-09 18:26:28" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
5.188.211.35 - - "2018-02-09 18:26:29" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
